x1,x2,x3,x4
0.417,0.250,0.000,0.000
0.417,0.250,0.000,0.000
0.417,0.250,0.000,0.000
0.417,0.250,0.000,0.000
0.215,0.312,0.215,0.215
0.215,0.312,0.215,0.215
0.215,0.312,0.215,0.215
0.215,0.312,0.215,0.215
0.417,0.250,0.000,0.000
0.417,0.250,0.000,0.000
0.417,0.250,0.000,0.000
0.417,0.250,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
0.500,0.000,0.000,0.000
